,赤色TNPNO,TJ,JAN,商品名,入数,箱数,在庫数,賞味期限,原価,会長原価修正,
260,594,4901001603558 ,4901001603558,味の素　つめたーい氷みぞれつゆ鶏だしゆず風味　180g,8,65,520,2027/01/01,15,,1
261,595,4901001754915,4901001754915,味の素　つめたーい氷みぞれつゆかつおだし,8,50,400,2027/02/01,15,,1
262,596,4901001314508,4901001314508,クノール　カップスター4種のチーズのポタージュ,60,0,0,2026/12/01,80,,1
263,599,8801073116566,8801073116566,MEP黒胡椒牛肉味ラーメン,20,7,140,2026/12/15,60,,1
264,601,4903065011928,4903065011928,ヤマキ　氷熟厚削りかつお　70g,10,0,0,2027/02/11,210,,1
265,602,4901108017227,4901108017227,エバラ　プチッと中華クイック濃厚味噌炒め　129g,12,35,420,2027/05/01,80,,1
266,604,4902701915330,4902701915330,明治屋 マイシロップあまおうを味わう,24,7,168,2027/02/04,30,,1
267,605,4902380221258,4902380221258,日清 オーガニックエクストラバージンオイル,10,21,210,2028/1/31,290,,1
268,607,4901520175208,4901520175208,テーブルマーク　深皿ご飯　200g,4,38,152,2027/03/12,352,,1
269,609,4901001139255,4901001139255,クノール カップスープクリミージンジャー　3袋,60,14,840,2027/03/01,80,,1
270,610,4977856212320,4977856212320,きになる！きくらげ梅しそ味,72,13,936,2026/10/26,90,,1
271,611,4902701915460,4902701915460,明治屋 マイシロップ宇治抹茶を味わう,24,7,168,2027/02/03,30,,1
272,612,4901990513173,4901990513173,マルちゃん 正麺豚骨醤油味5P,6,13,78,2026/11/30,270,,1
273,613,4902380218920,4902380218920,日清 キャノーラ＆オリーブ350gペット,10,72,720,2028/01/01,190,,1
274,614,4514603469714,4514603469714,MITSUYA 特濃マスカットスカッシュ,24,43,1032,2026/09/01,45,,1
275,615,4902475212093,4902475212093,ヒガシマル そばスープ　4袋入り,60,17,1020,2027/08/01,47,,1
276,616,4902713134088,4902713134088,料亭の味 あおさとしじみ　10食入り,12,10,120,2027/01/01,180,,1
277,617,4901001130535,4901001130535,味の素 クックドゥ棒棒鶏ソース,40,0,0,2027/10/01,80,,1
278,618,4901001994465,4901001994465,味の素 スチーミーあじしみ鶏とねぎの香ばし醤油味,10,0,0,2027/01/01,80,,1
279,619,4901111543256,4901111543256,AGF　ちょっと贅沢な珈琲店スペシャルブレンド26本分ブラック,12,32,384,2028/01/01,230,,1
280,620,4902881458863,4902881458863,一平ちゃんてりたまマヨ味,12,39,468,2026/08/26,72,,1
281,621,4902888261053,4902888261053,森永　超大粒ラムネ,72,4,288,2027/04/01,130,,1
282,622,4901990380935,4901990380935,マルちゃん　赤いきつね焼うどん,12,19,228,2026/10/15,80,,1
283,623,4901620304584,4901620304584,日清　ココナッツサブレチョコレートミニ,10,12,120,2027/02/01,35,,1
284,624,4901990052412,4901990052412,マルちゃん　あさりの旨みワンタンシーフードスープ味,12,70,840,2026/11/19,39,,1
285,625,4901108017463,4901108017463,エバラ　黄金の味焼肉たれポン酢,12,40,480,2027/02/23,180,,1
286,626,4902713126601,4902713126601,魚沼醸造生塩糀,32,7,224,2026/09/20,75,,1
287,627,4902713119115,4902713119115,マルコメ料亭の味あさり　8食,12,18,216,2026/11/15,38,,1
288,628,4901325402684,4901325402684,共立　バナナチップ　45g,72,0,0,2026/08/26,55,,1
289,632,4901001115808,4901001115808,味の素　コンソメステイック　5本,10,10,100,2027/08/01,61,,1
290,633,4973512279898,4973512279898,サラヤ　へるしごはん　おいしい雑穀　150gX3,8,66,528,2026/09/07,190,,1
291,634,4902881458979,4902881458979,麺神蛤だしと帆立だし白湯ラーメン,12,12,144,2026/08/20,100,,1
292,636,4901990052429,4901990052429,マルちゃん　ワンタンバラエティパック4入り,6,24,144,2026/08/09,220,,1
293,637,4901990052412,4901990052412,マルちゃん　あさりの旨みワンタンシーフードスープ味,12,46,552,2026/08/09,39,,1
294,638,4902881439572,4902881439572,明星　庵きつねうどん大盛,12,5,60,2026/10/09,73,,1
295,639,4901990051033,4901990051033,マルちゃん　札幌スパイシースープカレーワンタン,12,38,456,2026/08/16,39,,1
296,641,4902888553219,4902888553219,森永　おうち茶屋おしるこ粒入り　4袋,10,5,50,2027/10/31,160,,
297,644,4902775076807,4902775076807,ブタメンシーフード味,15,70,1050,2026/08/02,31,,1
298,645,4562104352745,4562104352745,本場韓国の味プルコギたれ500g,12,6,72,2027/03/21,220,,1
299,646,4960003311274,4960003311274,かまだ讃岐うどん醤油200ml,10,23,230,2027/02/28,100,,1
300,647,4514603469714,4514603469714,特濃マスカットスカッシュ,24,14,336,2026/09/30,45,,1
301,648,4902831511280,4902831511280,日東紅茶ローズヒップ,6,0,0,2027/11/30,161,,1
302,649,4902110266092,4902110266092,リッチーナおだしカルボナーラ,40,5,200,2026/12/16,130,,1
303,650,4902110266122,4902110266122,マ・マープロテイストナポリタン,12,7,84,2027/09/08,125,,1
